Console Name,Brand,Release Year,Launch Price (USD),Generation,Type
PlayStation 5,Sony,2020,499,9th,Home Console
PlayStation 5 Digital Edition,Sony,2020,399,9th,Home Console
Xbox Series X,Microsoft,2020,499,9th,Home Console
Xbox Series S,Microsoft,2020,299,9th,Home Console
Nintendo Switch,Nintendo,2017,299,8th,Hybrid
Nintendo Switch OLED,Nintendo,2021,349,8th,Hybrid
Steam Deck,Valve,2022,399,Handheld PC,Handheld
ASUS ROG Ally,ASUS,2023,699,Handheld PC,Handheld
PlayStation 4 Pro,Sony,2016,399,8th,Home Console
Xbox One X,Microsoft,2017,499,8th,Home Console
